List,Order,Item,Context,Box,Gender,Condition,BoxName,GenderName,FirstDisplay,SecondDisplay
1,0,P3,香肠上方的男人在三号位。,1,,,,,P3_1.jpg,P3_2.jpg
1,1,P1,行李箱旁边的溜冰鞋在一号位。,2,,,,,P1_1.jpg,P1_2.jpg
1,2,P1,游泳运动员在电钻的下方。,1,,,,,Filler1.jpg,Filler2.jpg
1,3,P2,葡萄旁边的猴子在二号位。,2,,,,,P2_1.jpg,P2_2.jpg
1,4,P4,钢琴和外套上方的女人在一号位。,1,,,,,P4_1.jpg,P4_2.jpg
2,0,P3,香肠上方的男人在三号位。,1,,,,,P3_1.jpg,P3_2.jpg
2,1,P1,行李箱旁边的溜冰鞋在一号位。,2,,,,,P1_1.jpg,P1_2.jpg
2,2,P1,游泳运动员在电钻的下方。,1,,,,,Filler1.jpg,Filler2.jpg
2,3,P2,葡萄旁边的猴子在二号位。,2,,,,,P2_1.jpg,P2_2.jpg
2,4,P4,钢琴和外套上方的女人在一号位。,1,,,,,P4_1.jpg,P4_2.jpg
3,0,P3,香肠上方的男人在三号位。,1,,,,,P3_1.jpg,P3_2.jpg
3,1,P1,行李箱旁边的溜冰鞋在一号位。,2,,,,,P1_1.jpg,P1_2.jpg
3,2,P1,游泳运动员在电钻的下方。,1,,,,,Filler1.jpg,Filler2.jpg
3,3,P2,葡萄旁边的猴子在二号位。,2,,,,,P2_1.jpg,P2_2.jpg
3,4,P4,钢琴和外套上方的女人在一号位。,1,,,,,P4_1.jpg,P4_2.jpg
4,0,P3,香肠上方的男人在三号位。,1,,,,,P3_1.jpg,P3_2.jpg
4,1,P1,行李箱旁边的溜冰鞋在一号位。,2,,,,,P1_1.jpg,P1_2.jpg
4,2,P1,游泳运动员在电钻的下方。,1,,,,,Filler1.jpg,Filler2.jpg
4,3,P2,葡萄旁边的猴子在二号位。,2,,,,,P2_1.jpg,P2_2.jpg
4,4,P4,钢琴和外套上方的女人在一号位。,1,,,,,P4_1.jpg,P4_2.jpg
